time,lat,lon,sst
2023-01-03,25.625,122.125,23.49
2023-01-03,25.625,122.375,24.109999
2023-01-03,25.625,122.625,24.529999
2023-01-03,25.625,122.875,24.81
2023-01-03,25.625,123.125,24.97
2023-01-03,25.625,123.375,24.91
2023-01-03,25.625,123.625,24.869999
2023-01-03,25.625,123.875,24.75
2023-01-03,25.875,122.125,23.08
2023-01-03,25.875,122.375,23.74
2023-01-03,25.875,122.625,24.18
2023-01-03,25.875,122.875,24.57
2023-01-03,25.875,123.125,24.869999
2023-01-03,25.875,123.375,24.92
2023-01-03,25.875,123.625,24.99
2023-01-03,25.875,123.875,24.84
2023-01-03,26.125,122.125,22.48
2023-01-03,26.125,122.375,23.1
2023-01-03,26.125,122.625,23.519999
2023-01-03,26.125,122.875,23.939999
2023-01-03,26.125,123.125,24.33
2023-01-03,26.125,123.375,24.51
2023-01-03,26.125,123.625,24.66
2023-01-03,26.125,123.875,24.539999
2023-01-03,26.375,122.125,21.949999
2023-01-03,26.375,122.375,22.4
2023-01-03,26.375,122.625,22.73
2023-01-03,26.375,122.875,23.109999
2023-01-03,26.375,123.125,23.519999
2023-01-03,26.375,123.375,23.75
2023-01-03,26.375,123.625,23.9
2023-01-03,26.375,123.875,23.81
2023-01-03,26.625,122.125,21.55
2023-01-03,26.625,122.375,21.8
2023-01-03,26.625,122.625,21.96
2023-01-03,26.625,122.875,22.199999
2023-01-03,26.625,123.125,22.55
2023-01-03,26.625,123.375,22.82
2023-01-03,26.625,123.625,22.96
2023-01-03,26.625,123.875,22.9
2023-01-03,26.875,122.125,21.13
2023-01-03,26.875,122.375,21.38
2023-01-03,26.875,122.625,21.529999
2023-01-03,26.875,122.875,21.65
2023-01-03,26.875,123.125,21.85
2023-01-03,26.875,123.375,22.01
2023-01-03,26.875,123.625,22.109999
2023-01-03,26.875,123.875,22.08
2023-01-04,25.125,122.125,24.26
2023-01-04,25.125,122.375,24.67
2023-01-04,25.125,122.625,24.93
2023-01-04,25.125,122.875,24.82
2023-01-04,25.125,123.125,24.699999
2023-01-04,25.125,123.375,24.34
2023-01-04,25.125,123.625,24.22
2023-01-04,25.125,123.875,24.08
2023-01-04,25.375,122.125,23.88
2023-01-04,25.375,122.375,24.55
2023-01-04,25.375,122.625,24.97
2023-01-04,25.375,122.875,25.019999
2023-01-04,25.375,123.125,25.019999
2023-01-04,25.375,123.375,24.76
2023-01-04,25.375,123.625,24.5
2023-01-04,25.375,123.875,24.39
2023-01-04,25.625,122.125,23.619999
2023-01-04,25.625,122.375,24.4
2023-01-04,25.625,122.625,24.96
2023-01-04,25.625,122.875,25.16
2023-01-04,25.625,123.125,25.3
2023-01-04,25.625,123.375,25.109999
2023-01-04,25.625,123.625,25.07
2023-01-04,25.625,123.875,24.789999
2023-01-04,25.875,122.125,23.269999
2023-01-04,25.875,122.375,24.06
2023-01-04,25.875,122.625,24.619999
2023-01-04,25.875,122.875,24.97
2023-01-04,25.875,123.125,25.24
2023-01-04,25.875,123.375,25.16
2023-01-04,25.875,123.625,25.24
2023-01-04,25.875,123.875,25.119999
2023-01-04,26.125,122.125,22.64
2023-01-04,26.125,122.375,23.33
2023-01-04,26.125,122.625,23.869999
2023-01-04,26.125,122.875,24.35
2023-01-04,26.125,123.125,24.72
2023-01-04,26.125,123.375,24.769999
2023-01-04,26.125,123.625,24.98
2023-01-04,26.125,123.875,24.869999
2023-01-04,26.375,122.125,22.029999
2023-01-04,26.375,122.375,22.439999
2023-01-04,26.375,122.625,22.89
2023-01-04,26.375,122.875,23.34
2023-01-04,26.375,123.125,23.83
2023-01-04,26.375,123.375,23.91
2023-01-04,26.375,123.625,24.18
2023-01-04,26.375,123.875,24.14
2023-01-04,26.625,122.125,21.59
2023-01-04,26.625,122.375,21.689999
2023-01-04,26.625,122.625,21.9
2023-01-04,26.625,122.875,22.23
2023-01-04,26.625,123.125,22.609999
2023-01-04,26.625,123.375,22.91
2023-01-04,26.625,123.625,23.23
2023-01-04,26.625,123.875,23.07
2023-01-04,26.875,122.125,21.359999
2023-01-04,26.875,122.375,21.33
2023-01-04,26.875,122.625,21.35
2023-01-04,26.875,122.875,21.4
2023-01-04,26.875,123.125,21.73
2023-01-04,26.875,123.375,22.05
2023-01-04,26.875,123.625,22.26
2023-01-04,26.875,123.875,22.26
2023-01-05,25.125,122.125,23.96
2023-01-05,25.125,122.375,24.43
2023-01-05,25.125,122.625,24.68
2023-01-05,25.125,122.875,24.51
2023-01-05,25.125,123.125,24.33
2023-01-05,25.125,123.375,24.119999
2023-01-05,25.125,123.625,23.96
2023-01-05,25.125,123.875,23.869999
2023-01-05,25.375,122.125,23.55
2023-01-05,25.375,122.375,24.24
2023-01-05,25.375,122.625,24.63
2023-01-05,25.375,122.875,24.67
2023-01-05,25.375,123.125,24.55
2023-01-05,25.375,123.375,24.369999
2023-01-05,25.375,123.625,24.21
2023-01-05,25.375,123.875,24.13
2023-01-05,25.625,122.125,23.47
2023-01-05,25.625,122.375,24.21
2023-01-05,25.625,122.625,24.74
2023-01-05,25.625,122.875,24.84
2023-01-05,25.625,123.125,24.82
2023-01-05,25.625,123.375,24.64
2023-01-05,25.625,123.625,24.56
