time,lat,lon,anom
2024-01-03,25.375,123.625,2.36
2024-01-03,25.375,123.875,2.06
2024-01-03,25.625,122.125,2.35
2024-01-03,25.625,122.375,3.3799999
2024-01-03,25.625,122.625,3.6399999
2024-01-03,25.625,122.875,3.52
2024-01-03,25.625,123.125,3.28
2024-01-03,25.625,123.375,2.97
2024-01-03,25.625,123.625,2.6299999
2024-01-03,25.625,123.875,2.29
2024-01-03,25.875,122.125,3.06
2024-01-03,25.875,122.375,3.8799999
2024-01-03,25.875,122.625,4.0699997
2024-01-03,25.875,122.875,3.84
2024-01-03,25.875,123.125,3.52
2024-01-03,25.875,123.375,3.11
2024-01-03,25.875,123.625,2.7
2024-01-03,25.875,123.875,2.35
2024-01-03,26.125,122.125,3.32
2024-01-03,26.125,122.375,3.9299998
2024-01-03,26.125,122.625,4.15
2024-01-03,26.125,122.875,4.0099998
2024-01-03,26.125,123.125,3.6
2024-01-03,26.125,123.375,3.08
2024-01-03,26.125,123.625,2.6
2024-01-03,26.125,123.875,2.1699998
2024-01-03,26.375,122.125,3.07
2024-01-03,26.375,122.375,3.6799998
2024-01-03,26.375,122.625,3.85
2024-01-03,26.375,122.875,3.73
2024-01-03,26.375,123.125,3.3899999
2024-01-03,26.375,123.375,2.87
2024-01-03,26.375,123.625,2.29
2024-01-03,26.375,123.875,1.7199999
2024-01-03,26.625,122.125,2.49
2024-01-03,26.625,122.375,2.99
2024-01-03,26.625,122.625,3.12
2024-01-03,26.625,122.875,3.04
2024-01-03,26.625,123.125,2.79
2024-01-03,26.625,123.375,2.3799999
2024-01-03,26.625,123.625,1.75
2024-01-03,26.625,123.875,1.11
2024-01-03,26.875,122.125,1.9599999
2024-01-03,26.875,122.375,2.24
2024-01-03,26.875,122.625,2.25
2024-01-03,26.875,122.875,2.1599998
2024-01-03,26.875,123.125,2.01
2024-01-03,26.875,123.375,1.6999999
2024-01-03,26.875,123.625,1.1999999
2024-01-03,26.875,123.875,0.64
2024-01-04,25.125,122.125,1.35
2024-01-04,25.125,122.375,2.35
2024-01-04,25.125,122.625,2.86
2024-01-04,25.125,122.875,2.74
2024-01-04,25.125,123.125,2.5
2024-01-04,25.125,123.375,2.27
2024-01-04,25.125,123.625,1.99
2024-01-04,25.125,123.875,1.6999999
2024-01-04,25.375,122.125,1.37
2024-01-04,25.375,122.375,2.6299999
2024-01-04,25.375,122.625,3.1799998
2024-01-04,25.375,122.875,3.1
2024-01-04,25.375,123.125,2.87
2024-01-04,25.375,123.375,2.6399999
2024-01-04,25.375,123.625,2.34
2024-01-04,25.375,123.875,2.02
2024-01-04,25.625,122.125,1.93
2024-01-04,25.625,122.375,3.1799998
2024-01-04,25.625,122.625,3.58
2024-01-04,25.625,122.875,3.4499998
2024-01-04,25.625,123.125,3.23
2024-01-04,25.625,123.375,2.96
2024-01-04,25.625,123.625,2.61
2024-01-04,25.625,123.875,2.26
2024-01-04,25.875,122.125,2.3799999
2024-01-04,25.875,122.375,3.49
2024-01-04,25.875,122.625,3.8799999
2024-01-04,25.875,122.875,3.75
2024-01-04,25.875,123.125,3.47
2024-01-04,25.875,123.375,3.12
2024-01-04,25.875,123.625,2.74
2024-01-04,25.875,123.875,2.31
2024-01-04,26.125,122.125,2.6
2024-01-04,26.125,122.375,3.49
2024-01-04,26.125,122.625,3.8999999
2024-01-04,26.125,122.875,3.9399998
2024-01-04,26.125,123.125,3.6
2024-01-04,26.125,123.375,3.1399999
2024-01-04,26.125,123.625,2.61
2024-01-04,26.125,123.875,2.05
2024-01-04,26.375,122.125,2.61
2024-01-04,26.375,122.375,3.31
2024-01-04,26.375,122.625,3.6399999
2024-01-04,26.375,122.875,3.7099998
2024-01-04,26.375,123.125,3.46
2024-01-04,26.375,123.375,2.97
2024-01-04,26.375,123.625,2.25
2024-01-04,26.375,123.875,1.4699999
2024-01-04,26.625,122.125,2.4099998
2024-01-04,26.625,122.375,2.9099998
2024-01-04,26.625,122.625,3.12
2024-01-04,26.625,122.875,3.12
2024-01-04,26.625,123.125,2.9199998
2024-01-04,26.625,123.375,2.4199998
2024-01-04,26.625,123.625,1.62
2024-01-04,26.625,123.875,0.72999996
2024-01-04,26.875,122.125,2.04
2024-01-04,26.875,122.375,2.33
2024-01-04,26.875,122.625,2.37
2024-01-04,26.875,122.875,2.31
2024-01-04,26.875,123.125,2.1
2024-01-04,26.875,123.375,1.65
2024-01-04,26.875,123.625,0.95
2024-01-04,26.875,123.875,0.21
2024-01-05,25.125,122.125,1.39
2024-01-05,25.125,122.375,2.36
2024-01-05,25.125,122.625,2.82
2024-01-05,25.125,122.875,2.7
2024-01-05,25.125,123.125,2.46
2024-01-05,25.125,123.375,2.24
2024-01-05,25.125,123.625,1.9599999
2024-01-05,25.125,123.875,1.68
2024-01-05,25.375,122.125,1.38
2024-01-05,25.375,122.375,2.62
2024-01-05,25.375,122.625,3.1499999
2024-01-05,25.375,122.875,3.04
2024-01-05,25.375,123.125,2.83
2024-01-05,25.375,123.375,2.61
2024-01-05,25.375,123.625,2.32
2024-01-05,25.375,123.875,2.01
2024-01-05,25.625,122.125,1.86
2024-01-05,25.625,122.375,3.1499999
2024-01-05,25.625,122.625,3.56
2024-01-05,25.625,122.875,3.4099998
2024-01-05,25.625,123.125,3.1899998
2024-01-05,25.625,123.375,2.9399998
2024-01-05,25.625,123.625,2.62
2024-01-05,25.625,123.875,2.28
2024-01-05,25.875,122.125,2.1299999
2024-01-05,25.875,122.375,3.36
2024-01-05,25.875,122.625,3.85
2024-01-05,25.875,122.875,3.73
2024-01-05,25.875,123.125,3.47
2024-01-05,25.875,123.375,3.1599998
2024-01-05,25.875,123.625,2.8
2024-01-05,25.875,123.875,2.3899999
2024-01-05,26.125,122.125,2.22
2024-01-05,26.125,122.375,3.26
2024-01-05,26.125,122.625,3.8
2024-01-05,26.125,122.875,3.9099998
2024-01-05,26.125,123.125,3.6399999
2024-01-05,26.125,123.375,3.25
2024-01-05,26.125,123.625,2.78
2024-01-05,26.125,123.875,2.21
2024-01-05,26.375,122.125,2.3
2024-01-05,26.375,122.375,3.06
2024-01-05,26.375,122.625,3.5
2024-01-05,26.375,122.875,3.7099998
2024-01-05,26.375,123.125,3.55
2024-01-05,26.375,123.375,3.1399999
2024-01-05,26.375,123.625,2.53
2024-01-05,26.375,123.875,1.74
2024-01-05,26.625,122.125,2.36
2024-01-05,26.625,122.375,2.86
2024-01-05,26.625,122.625,3.12
2024-01-05,26.625,122.875,3.21
2024-01-05,26.625,123.125,3.11
2024-01-05,26.625,123.375,2.69
2024-01-05,26.625,123.625,1.9599999
2024-01-05,26.625,123.875,1.04
2024-01-05,26.875,122.125,2.24
2024-01-05,26.875,122.375,2.54
2024-01-05,26.875,122.625,2.62
2024-01-05,26.875,122.875,2.6
