time,idx,sst,lat,lon
2025-01-01,"(0,0)",23.3356248125,25.5,122.5
2025-01-01,"(0,1)",22.1718749375,26.5,122.5
2025-01-01,"(1,0)",24.19312475,25.5,123.5
2025-01-01,"(1,1)",22.300624625,26.5,123.5
2025-01-02,"(0,0)",23.87624975,25.5,122.5
2025-01-02,"(0,1)",22.27812475,26.5,122.5
2025-01-02,"(1,0)",24.325624625,25.5,123.5
2025-01-02,"(1,1)",22.368124625,26.5,123.5
2025-01-03,"(0,0)",24.11749975,25.5,122.5
2025-01-03,"(0,1)",22.313749875,26.5,122.5
2025-01-03,"(1,0)",24.3174993125,25.5,123.5
2025-01-03,"(1,1)",22.259374625,26.5,123.5
2025-01-04,"(0,0)",24.068749812500002,25.5,122.5
2025-01-04,"(0,1)",22.6106246875,26.5,122.5
2025-01-04,"(1,0)",24.338749625,25.5,123.5
2025-01-04,"(1,1)",22.309999875,26.5,123.5
2025-01-05,"(0,0)",23.91062475,25.5,122.5
2025-01-05,"(0,1)",22.88062475,26.5,122.5
2025-01-05,"(1,0)",24.3793746875,25.5,123.5
2025-01-05,"(1,1)",22.32499975,26.5,123.5
2025-01-06,"(0,0)",23.826874625,25.5,122.5
2025-01-06,"(0,1)",22.933749875,26.5,122.5
2025-01-06,"(1,0)",24.2706248125,25.5,123.5
2025-01-06,"(1,1)",22.2218745625,26.5,123.5
2025-01-07,"(0,0)",23.7631246875,25.5,122.5
2025-01-07,"(0,1)",22.8224995625,26.5,122.5
2025-01-07,"(1,0)",24.148124875,25.5,123.5
2025-01-07,"(1,1)",22.08062475,26.5,123.5
2025-01-08,"(0,0)",23.674999624999998,25.5,122.5
2025-01-08,"(0,1)",22.823124875,26.5,122.5
2025-01-08,"(1,0)",24.1368746875,25.5,123.5
2025-01-08,"(1,1)",22.126874625,26.5,123.5
2025-01-09,"(0,0)",23.5606246875,25.5,122.5
2025-01-09,"(0,1)",22.848749625,26.5,122.5
2025-01-09,"(1,0)",23.90562475,25.5,123.5
2025-01-09,"(1,1)",22.07812475,26.5,123.5
2025-01-10,"(0,0)",23.49937475,25.5,122.5
2025-01-10,"(0,1)",22.6443746875,26.5,122.5
2025-01-10,"(1,0)",23.7962496875,25.5,123.5
2025-01-10,"(1,1)",21.8331246875,26.5,123.5
2025-01-11,"(0,0)",23.4856248125,25.5,122.5
2025-01-11,"(0,1)",22.5162498125,26.5,122.5
2025-01-11,"(1,0)",23.7081248125,25.5,123.5
2025-01-11,"(1,1)",21.72812475,26.5,123.5
2025-01-12,"(0,0)",23.5399996875,25.5,122.5
2025-01-12,"(0,1)",22.506874875,26.5,122.5
2025-01-12,"(1,0)",23.6556248125,25.5,123.5
2025-01-12,"(1,1)",21.6737496875,26.5,123.5
2025-01-13,"(0,0)",23.5968748125,25.5,122.5
2025-01-13,"(0,1)",22.5137498125,26.5,122.5
2025-01-13,"(1,0)",23.6974995,25.5,123.5
2025-01-13,"(1,1)",21.7718746875,26.5,123.5
2025-01-14,"(0,0)",23.674999749999998,25.5,122.5
2025-01-14,"(0,1)",22.5518748125,26.5,122.5
2025-01-14,"(1,0)",23.7356248125,25.5,123.5
2025-01-14,"(1,1)",21.8993746875,26.5,123.5
2025-01-15,"(0,0)",23.72187475,25.5,122.5
2025-01-15,"(0,1)",22.279374875,26.5,122.5
2025-01-15,"(1,0)",23.6693746875,25.5,123.5
2025-01-15,"(1,1)",21.946874875,26.5,123.5
2025-01-16,"(0,0)",23.7156246875,25.5,122.5
2025-01-16,"(0,1)",22.099999625,26.5,122.5
2025-01-16,"(1,0)",23.553124875,25.5,123.5
2025-01-16,"(1,1)",22.046249875,26.5,123.5
2025-01-17,"(0,0)",23.7299996875,25.5,122.5
2025-01-17,"(0,1)",22.056249625,26.5,122.5
2025-01-17,"(1,0)",23.483124749999998,25.5,123.5
2025-01-17,"(1,1)",21.89374975,26.5,123.5
2025-01-18,"(0,0)",23.5406246875,25.5,122.5
2025-01-18,"(0,1)",21.7499998125,26.5,122.5
2025-01-18,"(1,0)",23.37312475,25.5,123.5
2025-01-18,"(1,1)",21.7181249375,26.5,123.5
2025-01-19,"(0,0)",23.11062475,25.5,122.5
2025-01-19,"(0,1)",21.4124996875,26.5,122.5
2025-01-19,"(1,0)",23.1062495,25.5,123.5
2025-01-19,"(1,1)",21.5143746875,26.5,123.5
2025-01-20,"(0,0)",23.002499625,25.5,122.5
2025-01-20,"(0,1)",21.378124875,26.5,122.5
2025-01-20,"(1,0)",22.9762498125,25.5,123.5
2025-01-20,"(1,1)",21.4006246875,26.5,123.5
2025-01-21,"(0,0)",22.93062475,25.5,122.5
2025-01-21,"(0,1)",21.364374625,26.5,122.5
2025-01-21,"(1,0)",22.864999875,25.5,123.5
2025-01-21,"(1,1)",21.34812475,26.5,123.5
2025-01-22,"(0,0)",22.8143745625,25.5,122.5
2025-01-22,"(0,1)",21.498749812499998,26.5,122.5
2025-01-22,"(1,0)",22.8812498125,25.5,123.5
2025-01-22,"(1,1)",21.399999625,26.5,123.5
2025-01-23,"(0,0)",22.7624996875,25.5,122.5
2025-01-23,"(0,1)",21.353749875,26.5,122.5
2025-01-23,"(1,0)",22.82812475,25.5,123.5
2025-01-23,"(1,1)",21.3612498125,26.5,123.5
2025-01-24,"(0,0)",22.691249625,25.5,122.5
2025-01-24,"(0,1)",21.1562498125,26.5,122.5
2025-01-24,"(1,0)",22.76874975,25.5,123.5
2025-01-24,"(1,1)",21.136249562499998,26.5,123.5
2025-01-25,"(0,0)",22.737499749999998,25.5,122.5
2025-01-25,"(0,1)",21.1837496875,26.5,122.5
2025-01-25,"(1,0)",22.6687498125,25.5,123.5
2025-01-25,"(1,1)",21.11374975,26.5,123.5
2025-01-26,"(0,0)",22.8143746875,25.5,122.5
2025-01-26,"(0,1)",21.254374625,26.5,122.5
2025-01-26,"(1,0)",22.6756248125,25.5,123.5
2025-01-26,"(1,1)",21.0499995625,26.5,123.5
2025-01-27,"(0,0)",22.7981246875,25.5,122.5
2025-01-27,"(0,1)",21.19687475,26.5,122.5
2025-01-27,"(1,0)",22.63062475,25.5,123.5
2025-01-27,"(1,1)",21.08062475,26.5,123.5
2025-01-28,"(0,0)",22.65749975,25.5,122.5
2025-01-28,"(0,1)",21.0262499375,26.5,122.5
2025-01-28,"(1,0)",22.487499687499998,25.5,123.5
2025-01-28,"(1,1)",20.8912496875,26.5,123.5
2025-01-29,"(0,0)",22.57249975,25.5,122.5
2025-01-29,"(0,1)",21.1199995625,26.5,122.5
2025-01-29,"(1,0)",22.3856246875,25.5,123.5
2025-01-29,"(1,1)",20.82812475,26.5,123.5
2025-01-30,"(0,0)",22.616249687499998,25.5,122.5
2025-01-30,"(0,1)",21.298124875,26.5,122.5
2025-01-30,"(1,0)",22.44374975,25.5,123.5
2025-01-30,"(1,1)",20.910624875,26.5,123.5
2025-01-31,"(0,0)",22.57187475,25.5,122.5
2025-01-31,"(0,1)",21.350624812499998,26.5,122.5
2025-01-31,"(1,0)",22.4343746875,25.5,123.5
2025-01-31,"(1,1)",20.8949999375,26.5,123.5
2025-02-01,"(0,0)",22.7268748125,25.5,122.5
2025-02-01,"(0,1)",21.3256246875,26.5,122.5
2025-02-01,"(1,0)",22.1756246875,25.5,123.5
2025-02-01,"(1,1)",20.8993748125,26.5,123.5
2025-02-02,"(0,0)",22.7193746875,25.5,122.5
2025-02-02,"(0,1)",21.236249625,26.5,122.5
2025-02-02,"(1,0)",22.1993748125,25.5,123.5
2025-02-02,"(1,1)",20.883124625,26.5,123.5
2025-02-03,"(0,0)",22.791249875,25.5,122.5
2025-02-03,"(0,1)",20.9006248125,26.5,122.5
2025-02-03,"(1,0)",22.446874875,25.5,123.5
2025-02-03,"(1,1)",20.8156246875,26.5,123.5
2025-02-04,"(0,0)",22.7693746875,25.5,122.5
2025-02-04,"(0,1)",20.8999996875,26.5,122.5
2025-02-04,"(1,0)",22.49249975,25.5,123.5
2025-02-04,"(1,1)",20.8681248125,26.5,123.5
2025-02-05,"(0,0)",22.87874975,25.5,122.5
2025-02-05,"(0,1)",21.0174998125,26.5,122.5
2025-02-05,"(1,0)",22.5437498125,25.5,123.5
2025-02-05,"(1,1)",20.9387496875,26.5,123.5
2025-02-06,"(0,0)",22.905624875,25.5,122.5
2025-02-06,"(0,1)",21.052499875,26.5,122.5
2025-02-06,"(1,0)",22.544374875,25.5,123.5
2025-02-06,"(1,1)",20.9737498125,26.5,123.5
2025-02-07,"(0,0)",22.629999625,25.5,122.5
2025-02-07,"(0,1)",20.4568746875,26.5,122.5
2025-02-07,"(1,0)",22.37124975,25.5,123.5
2025-02-07,"(1,1)",21.0131248125,26.5,123.5
2025-02-08,"(0,0)",22.8156245625,25.5,122.5
2025-02-08,"(0,1)",20.5493746875,26.5,122.5
2025-02-08,"(1,0)",22.39937475,25.5,123.5
2025-02-08,"(1,1)",20.779999625000002,26.5,123.5
2025-02-09,"(0,0)",22.824374875,25.5,122.5
2025-02-09,"(0,1)",21.038749875,26.5,122.5
2025-02-09,"(1,0)",22.5287496875,25.5,123.5
2025-02-09,"(1,1)",20.9024996875,26.5,123.5
2025-02-10,"(0,0)",22.861874625,25.5,122.5
2025-02-10,"(0,1)",21.3531245625,26.5,122.5
2025-02-10,"(1,0)",22.609374625,25.5,123.5
2025-02-10,"(1,1)",20.9687496875,26.5,123.5
2025-02-11,"(0,0)",22.949374625,25.5,122.5
2025-02-11,"(0,1)",21.718124625,26.5,122.5
2025-02-11,"(1,0)",22.67937475,25.5,123.5
2025-02-11,"(1,1)",21.1774995,26.5,123.5
2025-02-12,"(0,0)",22.91062475,25.5,122.5
2025-02-12,"(0,1)",21.733749625,26.5,122.5
2025-02-12,"(1,0)",22.69437475,25.5,123.5
2025-02-12,"(1,1)",21.2837498125,26.5,123.5
2025-02-13,"(0,0)",22.7649995625,25.5,122.5
2025-02-13,"(0,1)",21.61562475,26.5,122.5
2025-02-13,"(1,0)",22.629374625,25.5,123.5
2025-02-13,"(1,1)",21.233124625,26.5,123.5
2025-02-14,"(0,0)",23.32937475,25.5,122.5
2025-02-14,"(0,1)",21.94687475,26.5,122.5
2025-02-14,"(1,0)",23.1706248125,25.5,123.5
2025-02-14,"(1,1)",21.42687475,26.5,123.5
2025-02-15,"(0,0)",23.5331248125,25.5,122.5
2025-02-15,"(0,1)",22.121874875,26.5,122.5
2025-02-15,"(1,0)",23.202499875,25.5,123.5
2025-02-15,"(1,1)",21.5643748125,26.5,123.5
2025-02-16,"(0,0)",23.539999875,25.5,122.5
2025-02-16,"(0,1)",22.1281243125,26.5,122.5
