time,idx,sst,lat,lon
2023-01-01,"(0,0)",24.2181246875,25.5,122.5
2023-01-01,"(0,1)",22.16812475,26.5,122.5
2023-01-01,"(1,0)",24.7581244375,25.5,123.5
2023-01-01,"(1,1)",23.1287496875,26.5,123.5
2023-01-02,"(0,0)",24.259999875,25.5,122.5
2023-01-02,"(0,1)",22.23312475,26.5,122.5
2023-01-02,"(1,0)",24.73937475,25.5,123.5
2023-01-02,"(1,1)",23.2987498125,26.5,123.5
2023-01-03,"(0,0)",24.25374975,25.5,122.5
2023-01-03,"(0,1)",22.276874624999998,26.5,122.5
2023-01-03,"(1,0)",24.673124625,25.5,123.5
2023-01-03,"(1,1)",23.2687498125,26.5,123.5
2023-01-04,"(0,0)",24.50999975,25.5,122.5
2023-01-04,"(0,1)",22.3587496875,26.5,122.5
2023-01-04,"(1,0)",24.8149996875,25.5,123.5
2023-01-04,"(1,1)",23.4699998125,26.5,123.5
2023-01-05,"(0,0)",24.2868749375,25.5,122.5
2023-01-05,"(0,1)",22.186874875,26.5,122.5
2023-01-05,"(1,0)",24.4037498125,25.5,123.5
2023-01-05,"(1,1)",22.7437499375,26.5,123.5
2023-01-06,"(0,0)",24.1262496875,25.5,122.5
2023-01-06,"(0,1)",22.18374975,26.5,122.5
2023-01-06,"(1,0)",24.297499625,25.5,123.5
2023-01-06,"(1,1)",22.62312475,26.5,123.5
2023-01-07,"(0,0)",24.02499975,25.5,122.5
2023-01-07,"(0,1)",22.225624875,26.5,122.5
2023-01-07,"(1,0)",24.2418748125,25.5,123.5
2023-01-07,"(1,1)",22.550624625,26.5,123.5
2023-01-08,"(0,0)",24.1874998125,25.5,122.5
2023-01-08,"(0,1)",22.4018746875,26.5,122.5
2023-01-08,"(1,0)",24.2999996875,25.5,123.5
2023-01-08,"(1,1)",22.674999875,26.5,123.5
2023-01-09,"(0,0)",24.292499625,25.5,122.5
2023-01-09,"(0,1)",22.47124975,26.5,122.5
2023-01-09,"(1,0)",24.31624975,25.5,123.5
2023-01-09,"(1,1)",22.7381248125,26.5,123.5
2023-01-10,"(0,0)",24.5368746875,25.5,122.5
2023-01-10,"(0,1)",22.550624875,26.5,122.5
2023-01-10,"(1,0)",24.260624749999998,25.5,123.5
2023-01-10,"(1,1)",22.721874562500002,26.5,123.5
2023-01-11,"(0,0)",24.554999875,25.5,122.5
2023-01-11,"(0,1)",22.7406249375,26.5,122.5
2023-01-11,"(1,0)",24.40374975,25.5,123.5
2023-01-11,"(1,1)",22.9837495625,26.5,123.5
2023-01-12,"(0,0)",24.5018745625,25.5,122.5
2023-01-12,"(0,1)",22.8424996875,26.5,122.5
2023-01-12,"(1,0)",24.5406245625,25.5,123.5
2023-01-12,"(1,1)",23.3593746875,26.5,123.5
2023-01-13,"(0,0)",24.6849995,25.5,122.5
2023-01-13,"(0,1)",23.10499975,26.5,122.5
2023-01-13,"(1,0)",24.671249625,25.5,123.5
2023-01-13,"(1,1)",23.676874625,26.5,123.5
2023-01-14,"(0,0)",24.73249975,25.5,122.5
2023-01-14,"(0,1)",23.1931245,26.5,122.5
2023-01-14,"(1,0)",24.75937475,25.5,123.5
2023-01-14,"(1,1)",23.6199996875,26.5,123.5
2023-01-15,"(0,0)",24.7324998125,25.5,122.5
2023-01-15,"(0,1)",23.17062475,26.5,122.5
2023-01-15,"(1,0)",24.821249625,25.5,123.5
2023-01-15,"(1,1)",23.5606248125,26.5,123.5
2023-01-16,"(0,0)",24.262499625,25.5,122.5
2023-01-16,"(0,1)",22.56812475,26.5,122.5
2023-01-16,"(1,0)",24.60562475,25.5,123.5
2023-01-16,"(1,1)",23.7799996875,26.5,123.5
2023-01-17,"(0,0)",24.203124875,25.5,122.5
2023-01-17,"(0,1)",21.816249875,26.5,122.5
2023-01-17,"(1,0)",24.181249625,25.5,123.5
2023-01-17,"(1,1)",22.6668749375,26.5,123.5
2023-01-18,"(0,0)",24.18437475,25.5,122.5
2023-01-18,"(0,1)",21.8799995,26.5,122.5
2023-01-18,"(1,0)",24.4318745625,25.5,123.5
2023-01-18,"(1,1)",22.61624975,26.5,123.5
2023-01-19,"(0,0)",24.05562475,25.5,122.5
2023-01-19,"(0,1)",21.8712495625,26.5,122.5
2023-01-19,"(1,0)",24.5024996875,25.5,123.5
2023-01-19,"(1,1)",22.8343746875,26.5,123.5
2023-01-20,"(0,0)",24.31312475,25.5,122.5
2023-01-20,"(0,1)",22.171874625,26.5,122.5
2023-01-20,"(1,0)",24.5818746875,25.5,123.5
2023-01-20,"(1,1)",23.0474999375,26.5,123.5
2023-01-21,"(0,0)",24.5056246875,25.5,122.5
2023-01-21,"(0,1)",22.6762496875,26.5,122.5
2023-01-21,"(1,0)",24.615624875,25.5,123.5
2023-01-21,"(1,1)",23.470625000000002,26.5,123.5
2023-01-22,"(0,0)",24.631874875,25.5,122.5
2023-01-22,"(0,1)",23.3762495625,26.5,122.5
2023-01-22,"(1,0)",24.8449996875,25.5,123.5
2023-01-22,"(1,1)",24.969999625,26.5,123.5
2023-01-23,"(0,0)",24.7587495,25.5,122.5
2023-01-23,"(0,1)",25.348749625,26.5,122.5
2023-01-23,"(1,0)",26.816874875,25.5,123.5
2023-01-23,"(1,1)",27.4499995625,26.5,123.5
2023-01-24,"(0,0)",25.2806245625,25.5,122.5
2023-01-24,"(0,1)",26.3012495625,26.5,122.5
2023-01-24,"(1,0)",27.022499625,25.5,123.5
2023-01-24,"(1,1)",27.6687495625,26.5,123.5
2023-01-25,"(0,0)",24.5662498125,25.5,122.5
2023-01-25,"(0,1)",23.453749875,26.5,122.5
2023-01-25,"(1,0)",24.38749975,25.5,123.5
2023-01-25,"(1,1)",23.706249875,26.5,123.5
2023-01-26,"(0,0)",24.675624437499998,25.5,122.5
2023-01-26,"(0,1)",22.611874812499998,26.5,122.5
2023-01-26,"(1,0)",24.38249975,25.5,123.5
2023-01-26,"(1,1)",22.90749975,26.5,123.5
2023-01-27,"(0,0)",24.5937496875,25.5,122.5
2023-01-27,"(0,1)",22.0512498125,26.5,122.5
2023-01-27,"(1,0)",24.35124975,25.5,123.5
2023-01-27,"(1,1)",22.586249875,26.5,123.5
2023-01-28,"(0,0)",24.2093745625,25.5,122.5
2023-01-28,"(0,1)",21.6337496875,26.5,122.5
2023-01-28,"(1,0)",23.6237495625,25.5,123.5
2023-01-28,"(1,1)",21.1956246875,26.5,123.5
2023-01-29,"(0,0)",24.1612496875,25.5,122.5
2023-01-29,"(0,1)",21.5812495625,26.5,122.5
2023-01-29,"(1,0)",23.6043745625,25.5,123.5
2023-01-29,"(1,1)",21.030624625,26.5,123.5
2023-01-30,"(0,0)",24.0749998125,25.5,122.5
2023-01-30,"(0,1)",21.66874975,26.5,122.5
2023-01-30,"(1,0)",23.514374749999998,25.5,123.5
2023-01-30,"(1,1)",20.97812475,26.5,123.5
2023-01-31,"(0,0)",24.1424996875,25.5,122.5
2023-01-31,"(0,1)",21.8412498125,26.5,122.5
2023-01-31,"(1,0)",23.6399996875,25.5,123.5
2023-01-31,"(1,1)",21.1231245,26.5,123.5
2023-02-01,"(0,0)",24.3187498125,25.5,122.5
2023-02-01,"(0,1)",22.052500000000002,26.5,122.5
2023-02-01,"(1,0)",23.786874625,25.5,123.5
2023-02-01,"(1,1)",21.4568748125,26.5,123.5
2023-02-02,"(0,0)",24.34124975,25.5,122.5
2023-02-02,"(0,1)",21.94937475,26.5,122.5
2023-02-02,"(1,0)",23.708749875,25.5,123.5
2023-02-02,"(1,1)",21.44312475,26.5,123.5
2023-02-03,"(0,0)",24.06499975,25.5,122.5
2023-02-03,"(0,1)",21.6024994375,26.5,122.5
2023-02-03,"(1,0)",23.4749998125,25.5,123.5
2023-02-03,"(1,1)",21.2406248125,26.5,123.5
2023-02-04,"(0,0)",23.4037494375,25.5,122.5
2023-02-04,"(0,1)",21.1087496875,26.5,122.5
2023-02-04,"(1,0)",23.20749975,25.5,123.5
2023-02-04,"(1,1)",20.7731249375,26.5,123.5
2023-02-05,"(0,0)",23.79937475,25.5,122.5
2023-02-05,"(0,1)",21.68874975,26.5,122.5
2023-02-05,"(1,0)",23.994374875,25.5,123.5
2023-02-05,"(1,1)",21.455624874999998,26.5,123.5
2023-02-06,"(0,0)",23.94374975,25.5,122.5
2023-02-06,"(0,1)",21.768124875,26.5,122.5
2023-02-06,"(1,0)",23.99812475,25.5,123.5
2023-02-06,"(1,1)",21.4574996875,26.5,123.5
2023-02-07,"(0,0)",23.9537495625,25.5,122.5
2023-02-07,"(0,1)",21.721874749999998,26.5,122.5
2023-02-07,"(1,0)",23.9543745625,25.5,123.5
2023-02-07,"(1,1)",21.364374625,26.5,123.5
2023-02-08,"(0,0)",24.278124625,25.5,122.5
2023-02-08,"(0,1)",21.98812475,26.5,122.5
2023-02-08,"(1,0)",24.0681246875,25.5,123.5
2023-02-08,"(1,1)",21.8099999375,26.5,123.5
2023-02-09,"(0,0)",24.3487496875,25.5,122.5
2023-02-09,"(0,1)",22.0506246875,26.5,122.5
2023-02-09,"(1,0)",24.0374995625,25.5,123.5
2023-02-09,"(1,1)",21.9999996875,26.5,123.5
2023-02-10,"(0,0)",23.9643749375,25.5,122.5
2023-02-10,"(0,1)",22.021249625,26.5,122.5
2023-02-10,"(1,0)",24.1106245,25.5,123.5
2023-02-10,"(1,1)",22.1674998125,26.5,123.5
2023-02-11,"(0,0)",23.7587496875,25.5,122.5
2023-02-11,"(0,1)",22.1856248125,26.5,122.5
2023-02-11,"(1,0)",24.17562475,25.5,123.5
2023-02-11,"(1,1)",22.4262498125,26.5,123.5
2023-02-12,"(0,0)",23.68812475,25.5,122.5
2023-02-12,"(0,1)",22.1581249375,26.5,122.5
2023-02-12,"(1,0)",24.1949996875,25.5,123.5
2023-02-12,"(1,1)",22.5424998125,26.5,123.5
2023-02-13,"(0,0)",23.6406246875,25.5,122.5
2023-02-13,"(0,1)",21.9281248125,26.5,122.5
2023-02-13,"(1,0)",24.1818748125,25.5,123.5
2023-02-13,"(1,1)",22.5381245625,26.5,123.5
2023-02-14,"(0,0)",23.42499975,25.5,122.5
2023-02-14,"(0,1)",20.7737496875,26.5,122.5
2023-02-14,"(1,0)",24.156249625,25.5,123.5
2023-02-14,"(1,1)",22.42874975,26.5,123.5
2023-02-15,"(0,0)",23.2862495625,25.5,122.5
2023-02-15,"(0,1)",20.291249625,26.5,122.5
2023-02-15,"(1,0)",23.69937475,25.5,123.5
2023-02-15,"(1,1)",21.9587495625,26.5,123.5
2023-02-16,"(0,0)",23.123749875,25.5,122.5
2023-02-16,"(0,1)",19.89562475,26.5,122.5
2023-02-16,"(1,0)",23.38187475,25.5,123.5
2023-02-16,"(1,1)",21.881249875,26.5,123.5
2023-02-17,"(0,0)",23.219374875,25.5,122.5
2023-02-17,"(0,1)",20.44999975,26.5,122.5
2023-02-17,"(1,0)",23.23687475,25.5,123.5
2023-02-17,"(1,1)",21.887499625,26.5,123.5
2023-02-18,"(0,0)",23.18499975,25.5,122.5
2023-02-18,"(0,1)",20.5637498125,26.5,122.5
